Sequence id,superkingdom,phylum,class,order,family,genus,species
Bordetella_parapertussis,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella_parapertussis
Pyrobaculum_arsenaticum,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,Pyrobaculum_arsenaticum
Wolbachia_sp_wRi,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Wolbachia,Wolbachia_sp_wRi
Brucella_ovis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella,Brucella_ovis
Listeria_innocua,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria_innocua
Methanocaldococcus_fervens,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Methanocaldococcus_fervens
Mycoplasma_pulmonis,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma_pulmonis
Streptomyces_griseus,Bacteria,Actinobacteria,Actinobacteria_class,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces_griseus
Mycoplasma_capricolum,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma_capricolum
Pectobacterium_wasabiae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pectobacterium,Pectobacterium_wasabiae
Aster_yellows_witches-broom_phytoplasma,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Candidatus_Phytoplasma,Aster_yellows_witches-broom_phytoplasma
Bartonella_bacilliformis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,Bartonella_bacilliformis
Desulfovibrio_desulfuricans,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio_desulfuricans
Helicobacter_pylori,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter_pylori
Rickettsia_felis,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia_felis
Shewanella_sp_MR-7,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella_sp_MR-7
Lactobacillus_reuteri,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_reuteri
Helicobacter_acinonychis,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter_acinonychis
Shewanella_sp_MR-4,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella_sp_MR-4
Brucella_suis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella,Brucella_suis
Clostridium_kluyveri,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_kluyveri
Thermoanaerobacter_tengcongensis,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter,Thermoanaerobacter_tengcongensis
Campylobacter_concisus,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter_concisus
Streptococcus_equi,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_equi
Erwinia_pyrifoliae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Erwinia,Erwinia_pyrifoliae
Cupriavidus_necator,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,Cupriavidus_necator
Bradyrhizobium_japonicum,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium_japonicum
Desulfovibrio_vulgaris,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio_vulgaris
Arthrobacter_aurescens,Bacteria,Actinobacteria,Actinobacteria_class,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter_aurescens
Bacillus_pseudofirmus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus_pseudofirmus
Deinococcus_radiodurans,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus_radiodurans
Corynebacterium_kroppenstedtii,Bacteria,Actinobacteria,Actinobacteria_class,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium_kroppenstedtii
Bacteroides_thetaiotaomicron,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_thetaiotaomicron
Clostridium_beijerinckii,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_beijerinckii
Bacteroides_vulgatus,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_vulgatus
Geobacter_sp_FRC-32,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,Geobacter_sp_FRC-32
Lactobacillus_casei,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_casei
Onion_yellows_phytoplasma,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Candidatus_Phytoplasma,Onion_yellows_phytoplasma
Deinococcus_deserti,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus_deserti
Mycoplasma_hominis,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma_hominis
Clostridium_phytofermentans,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_phytofermentans
Cupriavidus_pinatubonensis,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,Cupriavidus_pinatubonensis
Psychrobacter_sp_PRwf-1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter_sp_PRwf-1
Lactobacillus_helveticus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_helveticus
Methanosarcina_barkeri,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina_barkeri
Burkholderia_xenovorans,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_xenovorans
Anaeromyxobacter_sp_Fw109-5,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Anaeromyxobacter,Anaeromyxobacter_sp_Fw109-5
Yersinia_pestis,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Yersinia,Yersinia_pestis
Pectobacterium_carotovorum,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pectobacterium,Pectobacterium_carotovorum
Haemophilus_influenzae,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus_influenzae
Bacillus_halodurans,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus_halodurans
Pseudomonas_mendocina,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_mendocina
Methanocaldococcus_vulcanius,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Methanocaldococcus_vulcanius
Pectobacterium_atrosepticum,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pectobacterium,Pectobacterium_atrosepticum
